Project,Title,Agreement Date,Start Date Planned,Start Date Actual,End Date Planned,End Date Actual,Year,Sector,Focus Area,Zone,State,LGA,Funding Source,Funding Agencies,Implementer,Project Cost (USD),Committed (USD),Disbursed (USD),Autocoder ADM2 Geonames Matches,Autocoder ADM1 Geonames Matches,Autocoder Country Geonames Match
NGA/000412,"Hollywood, Health & Society Global Centers for Health and Development in Nigeria and India",27/11/2012,27/11/2012,,31/12/2014,, Unplanned; 2012; 2013; 2014,Health,Other,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,University of Southern California - Department of Contracts and Grants,"2,499,925","499,925","1,401,762",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000413,"Hollywood, Health & Society Global Centers for Health and Development in Nigeria and India",27/11/2012,27/11/2012,,31/12/2014,, Unplanned; 2012; 2013; 2014,Health,Other,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,University of Southern California - Department of Contracts and Grants,"2,499,925","499,925","1,401,762",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000414,"Hollywood, Health & Society Global Centers for Health and Development in Nigeria and India",27/11/2012,27/11/2012,,31/12/2014,, Unplanned; 2012; 2013; 2014,Health,Other,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation, Unspecified,"2,499,925",,,,,"'Federal Republic of Nigeria', '2328926'"
NGA/000415,Save the Children Anchor Grant,11/11/2011,11/11/2011,,30/09/2015,, Unplanned; 2011; 2012; 2013; 2014; 2015,Health,Maternal Health,  Unspecified,  Unspecified,  Unspecified,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,Save the Children Fund UK,"14,571,276","2,113,753","10,970,949",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000416,Developing Net Durability Criteria to Inform Procurement Decisions and Innovation,26/10/2012,26/10/2012,,31/12/2014,, Unplanned; 2012; 2013; 2014,Health,Malaria,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,Results for Development Institute,"1,155,076","69,300","1,155,076",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000417,Loan fund to invest in small scale clinics in Africa,17/12/2012,17/12/2012,,31/03/2019,, Unplanned; 2012; 2013; 2014; 2015; 2016; 2017; 2018; 2019,Health,HIV/AIDS,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,Medical Credit Fund,"2,000,000","500,000","300,000",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000418,African Health Markets for Equity (AHME),02/11/2012,02/11/2012,,31/10/2017,, Unplanned; 2012; 2013; 2014; 2015; 2016; 2017,Health,Other,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation, Unspecified,"30,000,000",,,,,"'Federal Republic of Nigeria', '2328926'"
NGA/000419,African Health Markets for Equity (AHME),02/11/2012,02/11/2012,,31/10/2017,, Unplanned; 2012; 2013; 2014; 2015; 2016; 2017,Health,Other,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation, Unspecified,"30,000,000",,,,,"'Federal Republic of Nigeria', '2328926'"
NGA/000420,Saving Newborn Lives,12/11/2012,12/11/2012,,31/12/2017,, Unplanned; 2012; 2013; 2014; 2015; 2016; 2017,Health,Other,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,Save The Children,"39,997,982","2,630,207","9,760,000",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000421,Loan fund to invest in small scale clinics in Africa,17/12/2012,17/12/2012,,31/03/2019,, Unplanned; 2012; 2013; 2014; 2015; 2016; 2017; 2018; 2019,Health,HIV/AIDS,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,Medical Credit Fund,"2,000,000","500,000","300,000",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000422,Loan fund to invest in small scale clinics in Africa,17/12/2012,17/12/2012,,31/03/2019,, Unplanned; 2012; 2013; 2014; 2015; 2016; 2017; 2018; 2019,Health,HIV/AIDS,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,Medical Credit Fund,"2,000,000","500,000","300,000",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000423,Loan fund to invest in small scale clinics in Africa,17/12/2012,17/12/2012,,31/03/2019,, Unplanned; 2012; 2013; 2014; 2015; 2016; 2017; 2018; 2019,Health,HIV/AIDS,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,Medical Credit Fund,"2,000,000","500,000","300,000",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000424,Saving Newborn Lives,12/11/2012,12/11/2012,,31/12/2017,, Unplanned; 2012; 2013; 2014; 2015; 2016; 2017,Health,Other,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,Save The Children,"39,997,982","1,783,985","9,760,000",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000425,"NAPPMED Planning Grant: Engaging Patent and Proprietary Medicine Dealers to improve management of childhood diarrhea, pneumonia and malaria in Nigeria",13/11/2012,13/11/2012,,30/08/2014,, Unplanned; 2012; 2013; 2014,Health,Malaria,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,University of California San Francisco,"1,499,931","1,499,931","1,499,931",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000426,"NAPPMED Planning Grant: Engaging Patent and Proprietary Medicine Dealers to improve management of childhood diarrhea, pneumonia and malaria in Nigeria",13/11/2012,13/11/2012,,30/08/2014,, Unplanned; 2012; 2013; 2014,Health,Malaria,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,University of California San Francisco,"1,499,931","1,499,931","1,499,931",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000427,Maternal Morbidity,30/09/2011,30/09/2011,,30/09/2015,, Unplanned; 2011; 2012; 2013; 2014; 2015,Health,Maternal Health,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,World Health Organization (WHO),"4,046,277","400,000","3,733,816",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000428,"NAPPMED Planning Grant: Engaging Patent and Proprietary Medicine Dealers to improve management of childhood diarrhea, pneumonia and malaria in Nigeria",13/11/2012,13/11/2012,,30/08/2014,, Unplanned; 2012; 2013; 2014,Health,Malaria,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,University of California San Francisco,"1,499,931","803,762","1,499,931",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000429,"NAPPMED Planning Grant: Engaging Patent and Proprietary Medicine Dealers to improve management of childhood diarrhea, pneumonia and malaria in Nigeria",13/11/2012,13/11/2012,,30/08/2014,, Unplanned; 2012; 2013; 2014,Health,  Unspecified,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,University of California San Francisco,"1,499,931","803,762","1,499,931",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000430,Sustainable Total Sanitation in Nigeria,22/06/2012,22/06/2012,,30/06/2016,, Unplanned; 2012; 2013; 2014; 2015; 2016,Health & Sanitation,  Unspecified,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation, Unspecified,"6,038,926",,,,,"'Federal Republic of Nigeria', '2328926'"
NGA/000431,Sustainable Total Sanitation in Nigeria,22/06/2012,22/06/2012,,30/06/2016,, Unplanned; 2012; 2013; 2014; 2015; 2016,Health & Sanitation,  Unspecified,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation, Unspecified,"6,038,926",,,,,"'Federal Republic of Nigeria', '2328926'"
NGA/000432,General operating support,20/06/2011,20/06/2011,,31/03/2014,, Unplanned; 2011; 2012; 2013; 2014,Agriculture,Markets and Trade capacity,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation, Unspecified,"725,048",,,,,"'Federal Republic of Nigeria', '2328926'"
NGA/000433,REINVESTMENT: Scaling up Open Forum on Agricultural Biotechnology,12/03/2012,12/03/2012,,31/05/2015,, Unplanned; 2012; 2013; 2014; 2015,Agriculture,Agricultural resource Policy,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,African Agricultural Technology Foundation,"3,577,285","492,000","2,354,837",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000434,REINVESTMENT: Scaling up Open Forum on Agricultural Biotechnology,12/03/2012,12/03/2012,,31/05/2015,, Unplanned; 2012; 2013; 2014; 2015,Agriculture,Agricultural resource Policy,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,African Agricultural Technology Foundation,"3,577,285","492,000","2,354,837",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000435,Reinvestment of Grant 51352: Guiding Investments in Sustainable Agricultural Intensification in Africa (GISAIA),01/11/2012,01/11/2012,,30/04/2017,, Unplanned; 2012; 2013; 2014; 2015; 2016; 2017,Agriculture,Agricultural resource Policy,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation, Unspecified,"7,815,486",,,,,"'Federal Republic of Nigeria', '2328926'"
NGA/000436,Reinvestment of Grant 51352: Guiding Investments in Sustainable Agricultural Intensification in Africa (GISAIA),01/11/2012,01/11/2012,,30/04/2017,, Unplanned; 2012; 2013; 2014; 2015; 2016; 2017,Agriculture,Agricultural resource Policy,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation, Unspecified,"7,815,486",,,,,"'Federal Republic of Nigeria', '2328926'"
NGA/000437,Sustainable Cassava Seed Systems in Nigeria,13/04/2012,13/04/2012,,31/07/2016,, Unplanned; 2012; 2013; 2014; 2015; 2016,Agriculture,Research and Technology,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation, Unspecified,"2,999,575",,,,,"'Federal Republic of Nigeria', '2328926'"
NGA/000438,Sustainable Cassava Seed Systems in Nigeria,13/04/2012,13/04/2012,,31/07/2016,, Unplanned; 2012; 2013; 2014; 2015; 2016,Agriculture,Research and Technology,  Unspecified,  Unspecified,  Unspecified,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation, Unspecified,"2,999,575",,,,,"'Federal Republic of Nigeria', '2328926'"
NGA/000439,Reinvestment OPP50471: Biosafety Capacity Building 2,11/10/2012,11/10/2012,,31/10/2016,, Unplanned; 2012; 2013; 2014; 2015; 2016,Agriculture,Research and Technology,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation, Unspecified,"6,388,170",,,,,"'Federal Republic of Nigeria', '2328926'"
NGA/000440,Reinvestment OPP50471: Biosafety Capacity Building 2,11/10/2012,11/10/2012,,31/10/2016,, Unplanned; 2012; 2013; 2014; 2015; 2016,Agriculture,Research and Technology,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation, Unspecified,"6,388,170",,,,,"'Federal Republic of Nigeria', '2328926'"
NGA/000441,Next Generation Cassava Breeding,28/09/2012,28/09/2012,,30/09/2017,, Unplanned; 2012; 2013; 2014; 2015; 2016; 2017,Agriculture,Research and Technology,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation, Unspecified,"19,895,459",,,,,"'Federal Republic of Nigeria', '2328926'"
NGA/000442,Africa-Brazil Agricultural Innovation Marketplace,25/10/2011,25/10/2011,,31/03/2015,, Unplanned; 2011; 2012; 2013; 2014; 2015,Agriculture,Research and Technology,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation, Unspecified,"2,498,374",,,,,"'Federal Republic of Nigeria', '2328926'"
NGA/000443,"Sesame Street Water: A Multi-media water, Sanitation and Hygiene Intervention for Children and their Caregivers in Bangladesh, India, and Nigeria",06/11/2012,06/11/2012,,30/04/2015,, Unplanned; 2012; 2013; 2014; 2015,Health & Sanitation,  Unspecified,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,Sesame Workshop,"2,030,307","305,155","1,200,000",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000444,"Sesame Street Water: A Multi-media water, Sanitation and Hygiene Intervention for Children and their Caregivers in Bangladesh, India, and Nigeria",06/11/2012,06/11/2012,,30/04/2015,, Unplanned; 2012; 2013; 2014; 2015,Health & Sanitation,  Unspecified,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,Sesame Workshop,"2,030,307","305,155","1,200,000",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000445,Strengthening frontline worker organizations in NE Nigeria,30/05/2012,30/05/2012,,31/05/2015,, Unplanned; 2012; 2013; 2014; 2015,Health,Maternal Health,North Eastern ,Adamawa; Bauchi; Borno; Gombe; Taraba; Yobe,  Unspecified,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,Pact(Inc),"5,300,122","2,150,306","3,666,488",,"'Adamawa State', '2565342'; 'Bauchi State', '2347468'; 'Borno State', '2346794'; 'Gombe State', '2595347'; 'Taraba State', '2597366'; 'Yobe State', '2597367'","'Federal Republic of Nigeria', '2328926'"
NGA/000446,Strengthening frontline worker organizations in NE Nigeria,30/05/2012,30/05/2012,,31/05/2015,, Unplanned; 2012; 2013; 2014; 2015,Health,Maternal Health,North Eastern ,Adamawa; Bauchi; Borno; Gombe; Taraba; Yobe,  Unspecified,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,Pact(Inc),"5,300,122","3,149,817","3,666,488",,"'Adamawa State', '2565342'; 'Bauchi State', '2347468'; 'Borno State', '2346794'; 'Gombe State', '2595347'; 'Taraba State', '2597366'; 'Yobe State', '2597367'","'Federal Republic of Nigeria', '2328926'"
NGA/000447,Strengthening frontline worker organizations in NE Nigeria,30/05/2012,30/05/2012,,31/05/2015,, Unplanned; 2012; 2013; 2014; 2015,Health,Maternal Health,North Eastern ,Adamawa; Bauchi; Borno; Gombe; Taraba; Yobe,  Unspecified,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,Pact(Inc),"5,300,122","2,150,306","3,666,488",,"'Adamawa State', '2565342'; 'Bauchi State', '2347468'; 'Borno State', '2346794'; 'Gombe State', '2595347'; 'Taraba State', '2597366'; 'Yobe State', '2597367'","'Federal Republic of Nigeria', '2328926'"
NGA/000448,Strengthening frontline worker organizations in NE Nigeria,30/05/2012,30/05/2012,,31/05/2015,, Unplanned; 2012; 2013; 2014; 2015,Health,Maternal Health,North Eastern ,Adamawa; Bauchi; Borno; Gombe; Taraba; Yobe,  Unspecified,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,Pact(Inc),"5,300,122","3,149,817","3,666,488",,"'Adamawa State', '2565342'; 'Bauchi State', '2347468'; 'Borno State', '2346794'; 'Gombe State', '2595347'; 'Taraba State', '2597366'; 'Yobe State', '2597367'","'Federal Republic of Nigeria', '2328926'"
NGA/000449,Media and Communications to Shape Demands and Practice for Family Health in Nigeria,04/11/2013,04/11/2013,,31/10/2016,, Unplanned; 2013; 2014; 2015; 2016,Health,Other,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,BBC Media Action,"6,500,718","6,500,718","2,000,000",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000450,Agribusiness and Health Management & Leadership Program,29/01/2010,29/01/2010,,31/03/2012,, Unplanned; 2010; 2011; 2012,Agriculture,Markets and Trade capacity,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,Global Business School Network,"182,205","36,441","182,205",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000451,Strengthening FP/HIV Integration,12/10/2010,12/10/2010,,31/12/2012,, Unplanned; 2010; 2011; 2012,Health,Reproductive Health,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,Population Action International,"4,194,459","598,207","4,194,459",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000452,Strengthening FP/HIV Integration,12/10/2010,12/10/2010,,31/12/2012,, Unplanned; 2010; 2011; 2012,Health,Reproductive Health,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,Population Action International,"4,194,459","598,207","4,194,459",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000453,Renewal of GD710 N2 Africa 2: Putting Nitrogen Fixation to Work for Smallholder Farmers in Africa.,08/11/2013,08/11/2013,,01/11/2018,, Unplanned; 2013; 2014; 2015; 2016; 2017; 2018,Agriculture,Markets and Trade capacity,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,Wageningen University,"25,287,408","4,450,584","7,646,425",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000454,Renewal of GD710 N2 Africa 2: Putting Nitrogen Fixation to Work for Smallholder Farmers in Africa.,08/11/2013,08/11/2013,,01/11/2018,, Unplanned; 2013; 2014; 2015; 2016; 2017; 2018,Agriculture,Research and Technology,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,Wageningen University,"25,287,408","4,450,584","7,646,425",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000455,Renewal of GD710 N2 Africa 2: Putting Nitrogen Fixation to Work for Smallholder Farmers in Africa.,08/11/2013,08/11/2013,,01/11/2018,, Unplanned; 2013; 2014; 2015; 2016; 2017; 2018,Agriculture,Markets and Trade capacity,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,Wageningen University,"25,287,408","4,450,584","7,646,425",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000456,Renewal of GD710 N2 Africa 2: Putting Nitrogen Fixation to Work for Smallholder Farmers in Africa.,08/11/2013,08/11/2013,,01/11/2018,, Unplanned; 2013; 2014; 2015; 2016; 2017; 2018,Agriculture,Research and Technology,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,Wageningen University,"25,287,408","4,450,584","7,646,425",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000457,AABS Agribusiness Management Education Training Project,23/06/2012,23/06/2012,,30/06/2014,, Unplanned; 2012; 2013; 2014,Agriculture,Markets and Trade capacity,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,Association of African Business Schools,"1,492,904","497,635","1,492,904",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000458,AABS Agribusiness Management Education Training Project,23/06/2012,23/06/2012,,30/06/2014,, Unplanned; 2012; 2013; 2014,Agriculture,Markets and Trade capacity,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,Association of African Business Schools,"1,492,904","373,226","1,492,904",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000459,Partnership for Aflatoxin Control in Africa (PACA),11/11/2011,11/11/2011,,30/11/2016,, Unplanned; 2011; 2012; 2013; 2014; 2015; 2016,Agriculture,Markets and Trade capacity,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,Meridian Institute,"19,811,768","4,754,824","14,698,380",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000460,Partnership for Aflatoxin Control in Africa (PACA),11/11/2011,11/11/2011,,30/11/2016,, Unplanned; 2011; 2012; 2013; 2014; 2015; 2016,Agriculture,Markets and Trade capacity,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,Meridian Institute,"19,811,768","4,754,824","14,698,380",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000461,Public Financing for Agriculture,09/09/2011,09/09/2011,,30/09/2014,, Unplanned; 2011; 2012; 2013; 2014,Agriculture,Agricultural resource Policy,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,ActionAid USA,"4,533,391","1,000,000","3,944,228",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000462,Public Financing for Agriculture,09/09/2011,09/09/2011,,30/09/2014,, Unplanned; 2011; 2012; 2013; 2014,Agriculture,Public Investment Policy,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,ActionAid USA,"4,533,391","906,678","3,944,228",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000463,Building Human Capacity in Legume Science,10/11/2011,10/11/2011,,01/12/2016,, Unplanned; 2011; 2012; 2013; 2014; 2015; 2016,Agriculture,Markets and Trade capacity,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,Tshwane University,"1,279,771","182,824","908,215",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000464,Building Human Capacity in Legume Science,10/11/2011,10/11/2011,,01/12/2016,, Unplanned; 2011; 2012; 2013; 2014; 2015; 2016,Agriculture,Research and Technology,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,Tshwane University,"1,279,771","182,824","908,215",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000465,Decision Ring: Assessing the Acceptability of Vaginal Rings in sub-Saharan Africa,17/10/2011,17/10/2011,,30/09/2016,, Unplanned; 2011; 2012; 2013; 2014; 2015; 2016,Health,Reproductive Health,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,Population Council,"13,505,340","453,428","6,331,807",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000466,African Health Markets for Equity (AHME),02/11/2012,02/11/2012,,31/10/2017,, Unplanned; 2012; 2013; 2014; 2015; 2016; 2017,Health,Other,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,Marie Stopes International,"30,000,000","11,700,000","9,641,763",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000467,African Health Markets for Equity (AHME),02/11/2012,02/11/2012,,31/10/2017,, Unplanned; 2012; 2013; 2014; 2015; 2016; 2017,Health,Other,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,Marie Stopes International,"30,000,000","11,700,000","9,641,763",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000468,Sustainable Total Sanitation in Nigeria,22/06/2012,22/06/2012,,30/06/2016,, Unplanned; 2012; 2013; 2014; 2015; 2016,Water Sanitation and Hygiene,  Unspecified,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,WaterAid America Inc,"6,038,926","6,038,926","2,225,366",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000469,Sustainable Total Sanitation in Nigeria,22/06/2012,22/06/2012,,30/06/2016,, Unplanned; 2012; 2013; 2014; 2015; 2016,Water Sanitation and Hygiene,  Unspecified,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,WaterAid America Inc,"6,038,926","4,505,474","2,225,366",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000470,General operating support,20/06/2011,20/06/2011,,31/03/2014,, Unplanned; 2011; 2012; 2013; 2014,Agriculture,Markets and Trade capacity,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,International Center for Tropical Agriculture,"725,048","145,010","725,048",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000471,Reinvestment of Grant 51352: Guiding Investments in Sustainable Agricultural Intensification in Africa (GISAIA),01/11/2012,01/11/2012,,30/04/2017,, Unplanned; 2012; 2013; 2014; 2015; 2016; 2017,Agriculture,Agricultural resource Policy,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,Michigan State University,"7,815,486","1,310,538","2,976,321",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000472,Reinvestment of Grant 51352: Guiding Investments in Sustainable Agricultural Intensification in Africa (GISAIA),01/11/2012,01/11/2012,,30/04/2017,, Unplanned; 2012; 2013; 2014; 2015; 2016; 2017,Agriculture,Agricultural resource Policy,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,Michigan State University,"7,815,486","878,347","2,976,321",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000473,Sustainable Cassava Seed Systems in Nigeria,13/04/2012,13/04/2012,,31/07/2016,, Unplanned; 2012; 2013; 2014; 2015; 2016,Agriculture,Research and Technology,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,Catholic Relief Services,"2,999,575","2,999,575","1,835,350",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000474,Sustainable Cassava Seed Systems in Nigeria,13/04/2012,13/04/2012,,31/07/2016,, Unplanned; 2012; 2013; 2014; 2015; 2016,Agriculture,Research and Technology,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,Catholic Relief Services,"2,999,575","2,999,575","1,835,350",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000475,Reinvestment OPP50471: Biosafety Capacity Building 2,11/10/2012,11/10/2012,,31/10/2016,, Unplanned; 2012; 2013; 2014; 2015; 2016,Agriculture,Research and Technology,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,International Centre for Genetic Engineering and Biotechnology,"6,388,170","1,064,695","1,391,148",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000476,Reinvestment OPP50471: Biosafety Capacity Building 2,11/10/2012,11/10/2012,,31/10/2016,, Unplanned; 2012; 2013; 2014; 2015; 2016,Agriculture,Research and Technology,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,International Centre for Genetic Engineering and Biotechnology,"6,388,170","448,596","1,391,148",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000477,Next Generation Cassava Breeding,28/09/2012,28/09/2012,,30/09/2017,, Unplanned; 2012; 2013; 2014; 2015; 2016; 2017,Agriculture,Research and Technology,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,Cornell University,"19,895,459","3,979,092","5,142,774",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000478,Africa-Brazil Agricultural Innovation Marketplace,25/10/2011,25/10/2011,,31/03/2015,, Unplanned; 2011; 2012; 2013; 2014; 2015,Agriculture,Research and Technology,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,Brazilian Agricultural Research Corporation,"2,498,374","356,911","2,498,374",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000479,Hybrid Rice: Breeding by Design,29/10/2012,29/10/2012,,31/10/2017,, Unplanned; 2012; 2013; 2014; 2015; 2016; 2017,Agriculture,Research and Technology,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,African Agricultural Technology Foundation,"4,756,466","713,470","1,205,243",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000480,Accelerated: Development of On-farm Robust Diagnostic Toolkits for Yam Virus Diseases (B0354),03/10/2012,03/10/2012,,31/10/2015,, Unplanned; 2012; 2013; 2014; 2015,Agriculture,Research and Technology,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,University of Greenwich,"1,479,450","239,725","528,562",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000481,Cervical Cancer Screening and Preventative Therapy via Reproductive Health Networks (CCS&PT),22/10/2012,22/10/2012,,30/10/2016,, Unplanned; 2012; 2013; 2014; 2015; 2016,Health,Reproductive Health,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,Marie Stopes International,"15,998,824","3,792,435","10,211,792",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000482,Cervical Cancer Screening and Preventative Therapy via Reproductive Health Networks (CCS&PT),22/10/2012,22/10/2012,,30/10/2016,, Unplanned; 2012; 2013; 2014; 2015; 2016,Health,Maternal Health,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,Marie Stopes International,"15,998,824","3,397,148","10,211,792",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000483,Support scale up of Seasonal Malaria Chemoprevention (SMC),05/11/2012,05/11/2012,,01/08/2015,, Unplanned; 2012; 2013; 2014; 2015,Health,Malaria,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,Malaria Consortium,"1,498,738","1,498,738","748,487",,,"'Federal Republic of Nigeria', '2328926'"
