Projet,Titre du projet,Descriptif,Année,Date d'Approbation Prévue,Date de Début Prévue,Date de Fin Prévue,Date d'Approbation Effective,Date de Début Effective,Date de Fin Effective,Agence de financement,Source de Financement,Agence d'Exécution (1er Niveau),Coût du Projet (USD),Engagement de GdB (USD),Décaissement du GdB (USD),Région,Province,Commune,A l’Echelle National,Secteur,Sous-Secteur,ADM2 Geonames Matches,ADM1 Geonames Matches,Country Geonames Match
BDI/000646,Appui à la planification stratégique (moyen et long terme),,Imprévu; 2007; 2008; 2009; 2010; 2011; 2012; 2013; 2014; 2015; 2016,2009-11-27,2010-01-01,2014-12-31,2009-11-27,2010-01-01,2014-12-31,Fonds des Nations Unies pour la Consolidation de la Paix (FNUCP)); Programme des Nations Unies pour le Développement,Nations Unies,Agence d'Exécution de 1er Niveau non défini,"7,800,000",,,Sud; Ouest; Centre-Est; Nord,Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi,Non spécifié,Oui,GOUVERNEMENT ET SOCIETE CIVILE,"Gouvernement et société civile, général",,"'Kayanza Province', 430951; 'Muyinga Province', 431747; 'Ngozi Province', 430567; 'Cankuzo Province', 427700; 'Bubanza Province', 428514; 'Rutana Province', 434147; 'Province de Mwaro', 434386; 'Kirundo Province', 432455; 'Muramvya Province', 425550; 'Bujumbura Rural Province', 7303940; 'Ruyigi Province', 426699; 'Bururi Province', 423327; 'Makamba Province', 422233; 'Gitega Province', 426271; 'Cibitoke Province', 430020; 'Karuzi Province', 428218","'Republic of Burundi', 433561"
BDI/000647,"Programme d'appui à la Réintegration, réhabilitation des sinistrés et lutte contre la pauvreté (PRRSLP)",,Imprévu; 2005; 2007; 2008; 2009,,2005-09-08,2012-02-05,,2005-09-08,2009-06-08,Japon; Ministère des Affaires Etrangères Néerlandaise; Norvège; Programme des Nations Unies pour le Développement; Sida; Suisse,Japon; Nations Unies; Norvège; Pays-Bas; Suède; Suisse,Agence d'Exécution de 1er Niveau non défini,"7,272,240",,,Sud; Centre-Est; Nord,Muyinga; Ngozi; Cankuzo; Rutana; Kirundo; Ruyigi; Makamba; Karuzi,Non spécifié,Non,INFRASTRUCTURE ET SERVICES SOCIAUX DIVERS,Aide plurisectorielle pour les services sociaux de base,,"'Muyinga Province', 431747; 'Ngozi Province', 430567; 'Cankuzo Province', 427700; 'Rutana Province', 434147; 'Kirundo Province', 432455; 'Ruyigi Province', 426699; 'Makamba Province', 422233; 'Karuzi Province', 428218","'Republic of Burundi', 433561"
BDI/000648,Approvisionnement en moustiquaires pour le Ministère de la Santé,,Imprévu; 2007; 2008; 2009,,2008-01-01,2009-06-30,,2008-01-01,,Department for International Development (DFID),Royaume-Uni,Agence d'Exécution de 1er Niveau non défini,"4,522,121",,,Non spécifié,Non spécifié,Non spécifié,Non,SANTE,Santé de base,,,"'Republic of Burundi', 433561"
BDI/000649,Appui au Programme Burundais de Réinsértion et Réintegration (APRS),,Imprévu; 2004; 2005; 2006; 2007; 2008; 2009; 2010,,2004-01-01,2010-12-31,2003-10-31,2004-01-01,2017-11-30,Allemagne,Allemagne,Agence d'Exécution de 1er Niveau non défini,"25,252,624",,,Non spécifié,Non spécifié,Non spécifié,Non,AGRICULTURE; GOUVERNEMENT ET SOCIETE CIVILE,"Développement agricole; Dispositifs civils de construction de la paix, et de prévention et de règlement des conflits",,,"'Republic of Burundi', 433561"
BDI/000650,Le Programme de Retour et de Réintégration des Rapatriés Burundais,,Imprévu; 2007,,,,2007-01-01,,,Japan International Cooperation Agency (JICA),Japon,Agence d'Exécution de 1er Niveau non défini,"5,400,000",,,Non spécifié,Non spécifié,Non spécifié,Non,AIDE HUMANITAIRE,Aide à la reconstruction et réhabilitation,,,"'Republic of Burundi', 433561"
BDI/000651,Projet pour Renforcer le Contrôle du Paludisme,,Imprévu; 2008,,2008-01-03,2008-03-31,,2008-01-03,2008-03-31,Japan International Cooperation Agency (JICA),Japon,Agence d'Exécution de 1er Niveau non défini,"2,800,000",,,Ouest,Mairie de Bujumbura,Non spécifié,Non,SANTE,"Santé, général",,,"'Republic of Burundi', 433561"
BDI/000652,Contrôle du VIH/SIDA pour Anciens Soldats et Réfugiés du DRC,,Imprévu; 2007; 2008,,2007-01-12,2008-08-31,,2007-01-12,2009-02-05,Japan International Cooperation Agency (JICA),Japon,Agence d'Exécution de 1er Niveau non défini,"190,000",,,Ouest,Mairie de Bujumbura,Non spécifié,Non,SANTE,Lutte contre les maladies infectieuses,,,"'Republic of Burundi', 433561"
BDI/000653,Aide Alimentaire à travers le PAM,,Imprévu; 2008; 2009,,2007-01-02,2008-02-29,,2007-01-02,2009-02-28,Japan International Cooperation Agency (JICA),Japon,Agence d'Exécution de 1er Niveau non défini,"20,537,341",,,Sud; Ouest; Centre-Est; Nord,Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi,Non spécifié,Oui,AIDE-PROGRAMME ET AIDE SOUS FORME DE PRODUITS,Aide alimentaire à des fins de développement/aide à la sécurité alimentaire,,"'Kayanza Province', 430951; 'Muyinga Province', 431747; 'Ngozi Province', 430567; 'Cankuzo Province', 427700; 'Bubanza Province', 428514; 'Rutana Province', 434147; 'Province de Mwaro', 434386; 'Kirundo Province', 432455; 'Muramvya Province', 425550; 'Bujumbura Rural Province', 7303940; 'Ruyigi Province', 426699; 'Bururi Province', 423327; 'Makamba Province', 422233; 'Gitega Province', 426271; 'Cibitoke Province', 430020; 'Karuzi Province', 428218","'Republic of Burundi', 433561"
BDI/000654,Don d'Assistance pour Agriculteurs Défavorisés,,Imprévu; 2007,,2007-01-01,2007-03-31,,2007-01-01,2007-05-29,Japan International Cooperation Agency (JICA),Japon,Agence d'Exécution de 1er Niveau non défini,"1,800,000",,,Sud; Ouest; Centre-Est; Nord,Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi,Non spécifié,Oui,AIDE HUMANITAIRE,Aide alimentaire d’urgence,,"'Kayanza Province', 430951; 'Muyinga Province', 431747; 'Ngozi Province', 430567; 'Cankuzo Province', 427700; 'Bubanza Province', 428514; 'Rutana Province', 434147; 'Province de Mwaro', 434386; 'Kirundo Province', 432455; 'Muramvya Province', 425550; 'Bujumbura Rural Province', 7303940; 'Ruyigi Province', 426699; 'Bururi Province', 423327; 'Makamba Province', 422233; 'Gitega Province', 426271; 'Cibitoke Province', 430020; 'Karuzi Province', 428218","'Republic of Burundi', 433561"
BDI/000655,Projet de Renforcement des Capacités de l'Hôpital Prince Régent Charles et les Centres de Santé Publics de la Mairie de Bujumbura en Vue de l'Amélioration de la Santé Maternelle et Infantile,,Imprévu; 2007; 2008; 2009; 2010; 2011,,2007-01-03,2012-01-31,,2009-05-01,2012-12-31,Japan International Cooperation Agency (JICA),Japon,Agence d'Exécution de 1er Niveau non défini,"4,000,000",,,Ouest,Mairie de Bujumbura,Non spécifié,Non,SANTE,"Santé, général",,,"'Republic of Burundi', 433561"
BDI/000656,Appui à la Banque Nationale pour le Développement Économique,,Imprévu; 2007; 2009,,,,,2007-01-01,,Belgique,Belgique,Agence d'Exécution de 1er Niveau non défini,"3,299,966",,,Non spécifié,Non spécifié,Non spécifié,Non,BANQUES ET SERVICES FINANCIERS,Institutions monétaires,,,"'Republic of Burundi', 433561"
BDI/000657,"Projet de pavage à Kamenge, Kinima, Kirundo et Ngozi",,Imprévu; 2008; 2009; 2010; 2011; 2012; 2013,2008-12-18,2009-06-02,2013-12-31,2008-12-18,2009-06-02,,Belgique,Belgique,Agence d'Exécution de 1er Niveau non défini,"14,291,839",,,Ouest; Nord,Ngozi; Kirundo; Mairie de Bujumbura,Non spécifié,Non,INFRASTRUCTURE ET SERVICES SOCIAUX DIVERS,Politique de l’emploi et gestion administrative,,"'Ngozi Province', 430567; 'Kirundo Province', 432455","'Republic of Burundi', 433561"
BDI/000658,Appui au développement agricole dans une deuxième province (Cibitoke),,Imprévu; 2009; 2010; 2011; 2012; 2013; 2014; 2015,2009-12-14,2010-07-01,2014-12-31,2009-12-14,2010-07-01,2014-12-31,Belgique,Belgique,Agence d'Exécution de 1er Niveau non défini,"7,383,343",,,Ouest,Cibitoke,Non spécifié,Non,AGRICULTURE,Développement agricole,,"'Cibitoke Province', 430020","'Republic of Burundi', 433561"
BDI/000659,Appui institutionnel aux ministères de l'éducation nationale et de la culture,,Imprévu; 2008; 2009; 2010; 2011; 2012,2008-10-30,2008-12-11,2012-10-29,2008-10-30,2008-12-11,2012-10-29,Belgique,Belgique,Agence d'Exécution de 1er Niveau non défini,"1,053,186",,,Sud; Ouest; Centre-Est; Nord,Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi,Non spécifié,Oui,EDUCATION,Politique de l’éducation et gestion administrative,,"'Kayanza Province', 430951; 'Muyinga Province', 431747; 'Ngozi Province', 430567; 'Cankuzo Province', 427700; 'Bubanza Province', 428514; 'Rutana Province', 434147; 'Province de Mwaro', 434386; 'Kirundo Province', 432455; 'Muramvya Province', 425550; 'Bujumbura Rural Province', 7303940; 'Ruyigi Province', 426699; 'Bururi Province', 423327; 'Makamba Province', 422233; 'Gitega Province', 426271; 'Cibitoke Province', 430020; 'Karuzi Province', 428218","'Republic of Burundi', 433561"
BDI/000660,Appui à la recherche agronomique de l'ISABU,,Imprévu; 2008; 2009; 2010; 2011; 2012; 2013,,,,2008-10-30,,2012-10-29,Belgique,Belgique,Coopération Technique Belge,"3,746,722",,,Sud; Ouest; Centre-Est; Nord,Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi,Non spécifié,Oui,AGRICULTURE,Recherche agronomique,,"'Kayanza Province', 430951; 'Muyinga Province', 431747; 'Ngozi Province', 430567; 'Cankuzo Province', 427700; 'Bubanza Province', 428514; 'Rutana Province', 434147; 'Province de Mwaro', 434386; 'Kirundo Province', 432455; 'Muramvya Province', 425550; 'Bujumbura Rural Province', 7303940; 'Ruyigi Province', 426699; 'Bururi Province', 423327; 'Makamba Province', 422233; 'Gitega Province', 426271; 'Cibitoke Province', 430020; 'Karuzi Province', 428218","'Republic of Burundi', 433561"
BDI/000661,Appui à l'enseignement professionnel,,Imprévu; 2008; 2009; 2010; 2011; 2012; 2013; 2014,2008-12-18,2009-01-23,2013-12-17,2008-12-18,2009-01-23,2013-12-17,Coopération Technique Belge,Belgique,Agence d'Exécution de 1er Niveau non défini,"7,145,920",,,Sud; Ouest; Centre-Est; Nord,Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi,Non spécifié,Oui,EDUCATION,Formation professionnelle,,"'Kayanza Province', 430951; 'Muyinga Province', 431747; 'Ngozi Province', 430567; 'Cankuzo Province', 427700; 'Bubanza Province', 428514; 'Rutana Province', 434147; 'Province de Mwaro', 434386; 'Kirundo Province', 432455; 'Muramvya Province', 425550; 'Bujumbura Rural Province', 7303940; 'Ruyigi Province', 426699; 'Bururi Province', 423327; 'Makamba Province', 422233; 'Gitega Province', 426271; 'Cibitoke Province', 430020; 'Karuzi Province', 428218","'Republic of Burundi', 433561"
BDI/000662,Projet d'appui à la réforme des formations paramédicales,,Imprévu; 2008; 2009; 2010; 2011,2008-03-10,2008-04-11,2011-02-10,2008-03-10,2008-04-11,2011-02-10,Belgique,Belgique,Agence d'Exécution de 1er Niveau non défini,"2,858,368",,,Sud; Ouest; Centre-Est; Nord,Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi,Non spécifié,Oui,SANTE,"Santé, général",,"'Kayanza Province', 430951; 'Muyinga Province', 431747; 'Ngozi Province', 430567; 'Cankuzo Province', 427700; 'Bubanza Province', 428514; 'Rutana Province', 434147; 'Province de Mwaro', 434386; 'Kirundo Province', 432455; 'Muramvya Province', 425550; 'Bujumbura Rural Province', 7303940; 'Ruyigi Province', 426699; 'Bururi Province', 423327; 'Makamba Province', 422233; 'Gitega Province', 426271; 'Cibitoke Province', 430020; 'Karuzi Province', 428218","'Republic of Burundi', 433561"
BDI/000663,Projet d'appui à l'organisation de la communication au Minirelex,,Imprévu; 2007; 2008; 2009; 2010; 2011; 2012; 2013,2007-01-25,,,2007-01-25,2007-12-20,2011-01-23,Coopération Technique Belge,Belgique,Agence d'Exécution de 1er Niveau non défini,"2,159,516",,,Sud; Ouest; Centre-Est; Nord,Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi,Non spécifié,Oui,COMMUNICATIONS,Politique des communications et gestion administrative,,"'Kayanza Province', 430951; 'Muyinga Province', 431747; 'Ngozi Province', 430567; 'Cankuzo Province', 427700; 'Bubanza Province', 428514; 'Rutana Province', 434147; 'Province de Mwaro', 434386; 'Kirundo Province', 432455; 'Muramvya Province', 425550; 'Bujumbura Rural Province', 7303940; 'Ruyigi Province', 426699; 'Bururi Province', 423327; 'Makamba Province', 422233; 'Gitega Province', 426271; 'Cibitoke Province', 430020; 'Karuzi Province', 428218","'Republic of Burundi', 433561"
BDI/000664,Financement d'appui en expertises à l'État Burundais,,Imprévu; 2005; 2007; 2008; 2009; 2010; 2011; 2012; 2013,,,2011-01-02,2005-02-02,2005-11-02,,Belgique,Belgique,Agence d'Exécution de 1er Niveau non défini,"6,048,952",,,Sud; Ouest; Centre-Est; Nord,Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi,Non spécifié,Oui,DESTINATION PLURI-SECTO-RIELLE OU TRANSVERSALE,Autres multi secteurs,,"'Kayanza Province', 430951; 'Muyinga Province', 431747; 'Ngozi Province', 430567; 'Cankuzo Province', 427700; 'Bubanza Province', 428514; 'Rutana Province', 434147; 'Province de Mwaro', 434386; 'Kirundo Province', 432455; 'Muramvya Province', 425550; 'Bujumbura Rural Province', 7303940; 'Ruyigi Province', 426699; 'Bururi Province', 423327; 'Makamba Province', 422233; 'Gitega Province', 426271; 'Cibitoke Province', 430020; 'Karuzi Province', 428218","'Republic of Burundi', 433561"
BDI/000665,Appuis ponctuels aux institutions publiques (APIP),,Imprévu; 2006; 2007; 2008; 2009; 2010; 2011; 2013,2005-08-22,2006-10-20,2011-09-20,2005-08-22,2006-10-20,2011-01-31,Belgique,Belgique,Agence d'Exécution de 1er Niveau non défini,"4,711,055",,,Sud; Ouest; Centre-Est; Nord,Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi,Non spécifié,Oui,GOUVERNEMENT ET SOCIETE CIVILE,"Gouvernement et société civile, général",,"'Kayanza Province', 430951; 'Muyinga Province', 431747; 'Ngozi Province', 430567; 'Cankuzo Province', 427700; 'Bubanza Province', 428514; 'Rutana Province', 434147; 'Province de Mwaro', 434386; 'Kirundo Province', 432455; 'Muramvya Province', 425550; 'Bujumbura Rural Province', 7303940; 'Ruyigi Province', 426699; 'Bururi Province', 423327; 'Makamba Province', 422233; 'Gitega Province', 426271; 'Cibitoke Province', 430020; 'Karuzi Province', 428218","'Republic of Burundi', 433561"
BDI/000666,Fonds d'études et expertises (FEE),,Imprévu; 2000; 2007; 2008; 2009; 2010; 2011; 2012; 2013; 2014; 2015; 2016,,2000-11-14,2016-12-31,1990-06-21,2000-11-14,2016-12-31,Belgique,Belgique,Coopération Technique Belge,"2,399,819",,,Sud; Ouest; Centre-Est; Nord,Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi,Non spécifié,Oui,DESTINATION PLURI-SECTO-RIELLE OU TRANSVERSALE,Autres multi secteurs,,"'Kayanza Province', 430951; 'Muyinga Province', 431747; 'Ngozi Province', 430567; 'Cankuzo Province', 427700; 'Bubanza Province', 428514; 'Rutana Province', 434147; 'Province de Mwaro', 434386; 'Kirundo Province', 432455; 'Muramvya Province', 425550; 'Bujumbura Rural Province', 7303940; 'Ruyigi Province', 426699; 'Bururi Province', 423327; 'Makamba Province', 422233; 'Gitega Province', 426271; 'Cibitoke Province', 430020; 'Karuzi Province', 428218","'Republic of Burundi', 433561"
BDI/000667,Appui au Renforcement des mécanismes de coordination de l'aide,,Imprévu; 2008; 2009; 2010; 2011; 2012; 2013; 2014; 2015,2008-11-09,2008-11-09,2014-12-31,2008-11-09,2008-11-09,2014-12-31,Belgique; Commission de l'Union Européenne; Department for International Development (DFID); Pays Bas; Programme des Nations Unies pour le Développement; Swiss Agency for Development and Cooperation (SDC),Belgique; Commission de l'Union Européenne; Nations Unies; Pays-Bas; Royaume-Uni; Suisse,Agence d'Exécution de 1er Niveau non défini,"5,600,000",,,Sud; Ouest; Centre-Est; Nord,Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi,Non spécifié,Oui,GOUVERNEMENT ET SOCIETE CIVILE,Administration gouvernementale,,"'Kayanza Province', 430951; 'Muyinga Province', 431747; 'Ngozi Province', 430567; 'Cankuzo Province', 427700; 'Bubanza Province', 428514; 'Rutana Province', 434147; 'Province de Mwaro', 434386; 'Kirundo Province', 432455; 'Muramvya Province', 425550; 'Bujumbura Rural Province', 7303940; 'Ruyigi Province', 426699; 'Bururi Province', 423327; 'Makamba Province', 422233; 'Gitega Province', 426271; 'Cibitoke Province', 430020; 'Karuzi Province', 428218","'Republic of Burundi', 433561"
BDI/000668,Aide Alimentaire d'Urgence Burundi,,Imprévu; 2008; 2009; 2010; 2011; 2012,2008-06-05,2008-06-16,2011-06-30,2008-12-06,2008-06-17,2011-06-30,Allemagne,Allemagne,Agence d'Exécution de 1er Niveau non défini,"2,684,601",,,Sud; Ouest; Centre-Est; Nord,Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi,Non spécifié,Oui,AIDE HUMANITAIRE,Aide alimentaire d’urgence,,"'Kayanza Province', 430951; 'Muyinga Province', 431747; 'Ngozi Province', 430567; 'Cankuzo Province', 427700; 'Bubanza Province', 428514; 'Rutana Province', 434147; 'Province de Mwaro', 434386; 'Kirundo Province', 432455; 'Muramvya Province', 425550; 'Bujumbura Rural Province', 7303940; 'Ruyigi Province', 426699; 'Bururi Province', 423327; 'Makamba Province', 422233; 'Gitega Province', 426271; 'Cibitoke Province', 430020; 'Karuzi Province', 428218","'Republic of Burundi', 433561"
BDI/000669,Bonne gouvernance,,Imprévu; 2008,,2008-01-01,,,,2008-12-31,United States Agency for International Development,États Unis d'Amérique,Agence d'Exécution de 1er Niveau non défini,"300,000",,,Sud; Ouest; Centre-Est; Nord,Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi,Non spécifié,Oui,GOUVERNEMENT ET SOCIETE CIVILE,"Gouvernement et société civile, général",,"'Kayanza Province', 430951; 'Muyinga Province', 431747; 'Ngozi Province', 430567; 'Cankuzo Province', 427700; 'Bubanza Province', 428514; 'Rutana Province', 434147; 'Province de Mwaro', 434386; 'Kirundo Province', 432455; 'Muramvya Province', 425550; 'Bujumbura Rural Province', 7303940; 'Ruyigi Province', 426699; 'Bururi Province', 423327; 'Makamba Province', 422233; 'Gitega Province', 426271; 'Cibitoke Province', 430020; 'Karuzi Province', 428218","'Republic of Burundi', 433561"
BDI/000670,Programme d'appui au système de santé,,Imprévu; 2006; 2007; 2008; 2009; 2010; 2011; 2012; 2013; 2014,,,2013-03-31,2006-01-08,2006-01-08,2013-09-30,Swiss Agency for Development and Cooperation (SDC),Suisse,Agence d'Exécution de 1er Niveau non défini,"9,962,474",,,Nord,Ngozi,Non spécifié,Non,SANTE,"Santé, général",,"'Ngozi Province', 430567","'Republic of Burundi', 433561"
BDI/000671,Aide humanitaire et petites actions,,Imprévu; 2001; 2007; 2008; 2009; 2010; 2011; 2012; 2013; 2014,,,2012-12-31,2001-04-06,2007-04-06,,Swiss Agency for Development and Cooperation (SDC),Suisse,Agence d'Exécution de 1er Niveau non défini,"8,531,351",,,Sud; Ouest; Centre-Est; Nord,Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi,Non spécifié,Oui,AIDE HUMANITAIRE,Assistance matérielle et services d’urgence,,"'Kayanza Province', 430951; 'Muyinga Province', 431747; 'Ngozi Province', 430567; 'Cankuzo Province', 427700; 'Bubanza Province', 428514; 'Rutana Province', 434147; 'Province de Mwaro', 434386; 'Kirundo Province', 432455; 'Muramvya Province', 425550; 'Bujumbura Rural Province', 7303940; 'Ruyigi Province', 426699; 'Bururi Province', 423327; 'Makamba Province', 422233; 'Gitega Province', 426271; 'Cibitoke Province', 430020; 'Karuzi Province', 428218","'Republic of Burundi', 433561"
BDI/000672,Appui aux Consultations Nationales pour la mise en place d'une justice de transition au Burundi,,Imprévu; 2007; 2008; 2009,,2008-09-07,2009-12-08,2008-06-18,2008-09-07,2009-12-08,Fonds des Nations Unies pour la Consolidation de la Paix (FNUCP)); Office du Haut Commissaire des Nations Unies pour les Droits de l'Homme; Programme des Nations Unies pour le Développement; Suisse,Nations Unies; Suisse,Agence d'Exécution de 1er Niveau non défini,"2,706,509",,,Non spécifié,Non spécifié,Non spécifié,Non,GOUVERNEMENT ET SOCIETE CIVILE,Administration gouvernementale,,,"'Republic of Burundi', 433561"
BDI/000673,Promotion de la discipline et amélioration des relations entre la FDN et la population,,Imprévu; 2007; 2008; 2009,,,2009-06-30,2007-11-28,2008-01-03,,Fonds des Nations Unies pour la Consolidation de la Paix (FNUCP)),Nations Unies,Agence d'Exécution de 1er Niveau non défini,"450,000",,,Non spécifié,Non spécifié,Non spécifié,Non,GOUVERNEMENT ET SOCIETE CIVILE,Administration gouvernementale,,,"'Republic of Burundi', 433561"
BDI/000674,Promotion du rôle des petites micro entreprises dans la consolidation de la paix,,Imprévu; 2007; 2008; 2009,,,2009-05-22,2008-01-16,2008-05-23,,Fonds des Nations Unies pour la Consolidation de la Paix (FNUCP)),Nations Unies,Agence d'Exécution de 1er Niveau non défini,"500,000",,,Non spécifié,Non spécifié,Non spécifié,Non,DESTINATION PLURI-SECTO-RIELLE OU TRANSVERSALE,Autres multi secteurs,,,"'Republic of Burundi', 433561"
BDI/000675,Amélioration de la qualité des services publics locaux,,Imprévu; 2007; 2008; 2009,,,2009-07-16,2008-08-28,2008-07-17,,Fonds des Nations Unies pour la Consolidation de la Paix (FNUCP)),Nations Unies,Agence d'Exécution de 1er Niveau non défini,"3,000,000",,,Non spécifié,Non spécifié,Non spécifié,Non,GOUVERNEMENT ET SOCIETE CIVILE,Administration gouvernementale,,,"'Republic of Burundi', 433561"
BDI/000676,Appui aux personnes sinistrées,,Imprévu; 2009,,,,,,,Fonds des Nations Unies pour la Consolidation de la Paix (FNUCP)),Nations Unies,Agence d'Exécution de 1er Niveau non défini,"1,187,553",,,Ouest,Bubanza; Bujumbura Rural; Cibitoke,Non spécifié,Non,AIDE HUMANITAIRE,Reconstruction et réhabilitation,,"'Bubanza Province', 428514; 'Bujumbura Rural Province', 7303940; 'Cibitoke Province', 430020","'Republic of Burundi', 433561"
BDI/000677,Appui au service national de renseignement respectueux de l'État de droit,,Imprévu; 2007; 2008; 2009,,,2009-04-30,2007-06-27,2007-10-23,,Fonds des Nations Unies pour la Consolidation de la Paix (FNUCP)),Nations Unies,Agence d'Exécution de 1er Niveau non défini,"500,000",,,Non spécifié,Non spécifié,Non spécifié,Non,GOUVERNEMENT ET SOCIETE CIVILE,Administration gouvernementale,,,"'Republic of Burundi', 433561"
BDI/000678,Appui au règlement des litiges fonciers ( commission terre et autres biens),,Imprévu; 2007; 2008,,,2008-10-30,2007-05-04,2007-09-07,,Fonds des Nations Unies pour la Consolidation de la Paix (FNUCP)),Nations Unies,Agence d'Exécution de 1er Niveau non défini,"700,000",,,Non spécifié,Non spécifié,Non spécifié,Non,GOUVERNEMENT ET SOCIETE CIVILE,Développement des services légaux et judiciaires,,,"'Republic of Burundi', 433561"
BDI/000679,Programme Psychosocial,,Imprévu; 2009; 2010; 2011; 2012; 2013; 2014; 2015,2010-04-01,2010-04-01,2014-03-31,2011-01-04,2011-01-04,2015-03-31,Swiss Agency for Development and Cooperation (SDC),Suisse,Agence d'Exécution de 1er Niveau non défini,"1,538,580",,,Sud; Ouest; Centre-Est; Nord,Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi,Non spécifié,Oui,SANTE,Soins et services de santé de base,,"'Kayanza Province', 430951; 'Muyinga Province', 431747; 'Ngozi Province', 430567; 'Cankuzo Province', 427700; 'Bubanza Province', 428514; 'Rutana Province', 434147; 'Province de Mwaro', 434386; 'Kirundo Province', 432455; 'Muramvya Province', 425550; 'Bujumbura Rural Province', 7303940; 'Ruyigi Province', 426699; 'Bururi Province', 423327; 'Makamba Province', 422233; 'Gitega Province', 426271; 'Cibitoke Province', 430020; 'Karuzi Province', 428218","'Republic of Burundi', 433561"
BDI/000680,Programme d'appui à la gestion foncière au Burundi,,Imprévu; 2008; 2009; 2010; 2011; 2012; 2013,,2008-01-01,2013-12-31,,2009-01-01,2013-12-31,Pays Bas; Swiss Agency for Development and Cooperation (SDC),Pays-Bas; Suisse,Agence d'Exécution de 1er Niveau non défini,"9,642,954",,,Nord,Ngozi,Non spécifié,Non,GOUVERNEMENT ET SOCIETE CIVILE,"Prévention et règlement des conflits, paix et sécurité",,"'Ngozi Province', 430567","'Republic of Burundi', 433561"
BDI/000681,Appui pour une police nationale du Burundi de proximité opérationnelle,,Imprévu; 2007; 2008; 2009,,,2009-06-30,2007-07-26,2007-10-24,,Fonds des Nations Unies pour la Consolidation de la Paix (FNUCP)),Nations Unies,Agence d'Exécution de 1er Niveau non défini,"6,900,000",,,Non spécifié,Non spécifié,Non spécifié,Non,GOUVERNEMENT ET SOCIETE CIVILE,Administration gouvernementale,,,"'Republic of Burundi', 433561"
